count;date
118323;19/5/2015
119788;20/5/2015
118843;21/5/2015
112283;22/5/2015
68524;23/5/2015
68273;24/5/2015
92857;25/5/2015
116798;26/5/2015
119862;27/5/2015
115994;28/5/2015
111010;29/5/2015
70072;30/5/2015
82083;31/5/2015
114573;1/6/2015
118386;2/6/2015
117797;3/6/2015
113470;4/6/2015
106905;5/6/2015
68157;6/6/2015
70324;7/6/2015
109118;8/6/2015
119671;9/6/2015
116568;10/6/2015
113706;11/6/2015
105611;12/6/2015
79184;13/6/2015
69679;14/6/2015
124093;15/6/2015
113939;16/6/2015
114980;17/6/2015
130096;18/6/2015
106666;19/6/2015
65658;20/6/2015
66931;21/6/2015
106710;22/6/2015
116283;23/6/2015
114471;24/6/2015
113022;25/6/2015
108733;26/6/2015
69637;27/6/2015
70169;28/6/2015
108148;29/6/2015
113183;30/6/2015
109736;1/7/2015
109279;2/7/2015
91945;3/7/2015
62451;4/7/2015
65459;5/7/2015
107980;6/7/2015
120210;7/7/2015
114445;8/7/2015
115670;9/7/2015
110599;10/7/2015
67884;11/7/2015
77717;12/7/2015
113295;13/7/2015
115909;14/7/2015
114055;15/7/2015
113260;16/7/2015
107923;17/7/2015
64674;18/7/2015
70156;19/7/2015
111919;20/7/2015
117808;21/7/2015
114783;22/7/2015
116078;23/7/2015
108309;24/7/2015
67354;25/7/2015
76917;26/7/2015
114839;27/7/2015
119666;28/7/2015
117900;29/7/2015
114294;30/7/2015
109829;31/7/2015
63496;1/8/2015
64521;2/8/2015
110471;3/8/2015
114837;4/8/2015
116268;5/8/2015
113384;6/8/2015
107586;7/8/2015
64498;8/8/2015
68781;9/8/2015
111936;10/8/2015
116211;11/8/2015
115440;12/8/2015
113860;13/8/2015
106714;14/8/2015
68874;15/8/2015
70714;16/8/2015
111065;17/8/2015
117767;18/8/2015
118851;19/8/2015
159524;20/8/2015
113326;21/8/2015
69485;22/8/2015
74847;23/8/2015
115938;24/8/2015
117541;25/8/2015
117650;26/8/2015
123809;27/8/2015
110076;28/8/2015
70130;29/8/2015
71873;30/8/2015
111319;31/8/2015
121781;1/9/2015
117041;2/9/2015
116090;3/9/2015
107694;4/9/2015
69615;5/9/2015
75608;6/9/2015
104372;7/9/2015
118138;8/9/2015
120096;9/9/2015
120985;10/9/2015
111521;11/9/2015
73553;12/9/2015
78909;13/9/2015
117716;14/9/2015
119965;15/9/2015
120753;16/9/2015
126482;17/9/2015
112561;18/9/2015
71140;19/9/2015
74899;20/9/2015
123459;21/9/2015
136891;22/9/2015
121183;23/9/2015
122287;24/9/2015
